title,description,country,subscriberCount
"Wanted Adventure","Hey everyone! I’m Dana, an American living abroad in Germany. I make videos about the cultural differences between Germany and the USA, my own personal experiences as an American living abroad in Germany, and things that fascinate...or even sometimes frustrate me about languages and the German language in particular.

For more info, pics, and updates, check out the social media links below.

Thanks for watching!",DE,227093
"Mister//ModzZ Germany",,DE,13183
"Hayley Alexis","Hey you guys, my name is Hayley if you did not know now you do. 

I am an American currently living in Germany and sharing my opinions. My idea of coming to Germany was supposed to be a temporary stay but has turned into a long journey of learning and sharing my experiences with the German culture. 

I talk about language, food and everything in-between. I hope if you landed here you made the decision to stay and I am so thankful that you have decided to stop by my channel! 


Love always, 
Hayley",DE,68912
"KINGS. TV. GERMANY","King Jesus Movie production  / Germany Hanover / Austria / This production is for Ghanaians",DE,7953
"SMOTRA - GERMANY","Всех приветствуем на канале Смотра Германия.

У нас на канале вы увидите ролики связанные с авто и автоклубом Смотра Германия, а так же Смотра Европа и других местных клубов.
Добро пожаловать и приятного просмотра.

Наши контакты:
Смотра Германия в ВК: http://vk.com/smotragermany
Инстаграм Смотры - http://instagram.com/smotra.ru_germany/
Группа Смотра Германия на ФБ - https://www.facebook.com/groups/smotragermania/
Группа Смотра Германия NRW - https://www.facebook.com/groups/SmotraNRW/
Группа Смотра Германия на сайте Смотры - http://smotra.ru/communities/316/
Мой ВК - http://vk.com/don_d",DE,9843
